iid,gender,idg,partner,pid,match,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,dist_signup
1,0,1,1,11.0,0,0.35,0.2,0.2,0.2,0.0,0.05,0,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.13636363636363635,7.0,4.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.15,0.225,0.175,0.175,0.15,0.125,7.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0375
1,0,1,2,12.0,0,0.6,0.0,0.0,0.4,0.0,0.0,0,0.1590909090909091,0.18181818181818182,0.22727272727272727,0.1590909090909091,0.1590909090909091,0.11363636363636363,8.0,4.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.17073170731707318,0.1951219512195122,0.17073170731707318,0.1951219512195122,0.12195121951219512,0.14634146341463414,7.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.195
1,0,1,3,13.0,1,0.19,0.18,0.19,0.18,0.14,0.12,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,10.0,10.0,1.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.11904761904761904,0.19047619047619047,0.21428571428571427,0.19047619047619047,0.11904761904761904,0.16666666666666666,7.0,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.002000000000000001
1,0,1,4,14.0,1,0.3,0.05,0.15,0.4,0.05,0.05,1,0.14285714285714285,0.16326530612244897,0.1836734693877551,0.16326530612244897,0.1836734693877551,0.16326530612244897,7.0,7.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.16666666666666666,0.14285714285714285,0.19047619047619047,0.16666666666666666,0.14285714285714285,0.19047619047619047,7.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.065
1,0,1,5,15.0,1,0.3,0.1,0.2,0.1,0.1,0.2,1,0.17391304347826086,0.15217391304347827,0.1956521739130435,0.13043478260869565,0.1956521739130435,0.15217391304347827,8.0,6.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.13513513513513514,0.16216216216216217,0.1891891891891892,0.1891891891891892,0.16216216216216217,0.16216216216216217,6.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004
1,0,1,6,16.0,0,0.5,0.0,0.3,0.1,0.0,0.1,1,0.1590909090909091,0.1590909090909091,0.18181818181818182,0.18181818181818182,0.1590909090909091,0.1590909090909091,7.0,6.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,0,0.11764705882352941,0.2647058823529412,0.20588235294117646,0.11764705882352941,0.17647058823529413,0.11764705882352941,6.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999
1,0,1,7,17.0,0,0.35,0.15,0.25,0.1,0.05,0.1,0,0.08333333333333333,0.16666666666666666,0.19444444444444445,0.1388888888888889,0.2222222222222222,0.19444444444444445,2.0,1.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.1891891891891892,0.16216216216216217,0.1891891891891892,0.10810810810810811,0.16216216216216217,0.1891891891891892,6.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03
1,0,1,8,18.0,0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,0.15789473684210525,0.18421052631578946,0.13157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,7.0,5.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,0,0.10810810810810811,0.24324324324324326,0.1891891891891892,0.16216216216216217,0.13513513513513514,0.16216216216216217,6.0,7.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.02882716049382716
1,0,1,9,19.0,1,0.5,0.0,0.25,0.1,0.0,0.15,1,0.14893617021276595,0.14893617021276595,0.1702127659574468,0.1702127659574468,0.1702127659574468,0.19148936170212766,6.5,8.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.15217391304347827,0.13043478260869565,0.17391304347826086,0.1956521739130435,0.17391304347826086,0.17391304347826086,7.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09499999999999999
1,0,1,10,20.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0,6.0,2.0,21.0,1.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,0.15,0.2,0.2,0.15,0.15,0.15,1,0.11627906976744186,0.13953488372093023,0.13953488372093023,0.18604651162790697,0.23255813953488372,0.18604651162790697,6.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.43499999999999994
2,0,3,1,11.0,0,0.35,0.2,0.2,0.2,0.0,0.05,0,0.1951219512195122,0.17073170731707318,0.14634146341463414,0.21951219512195122,0.17073170731707318,0.0975609756097561,7.0,2.0,2.0,24.0,1.0,1.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,0.45,0.05,0.25,0.2,0.0,0.05,0,0.15151515151515152,0.21212121212121213,0.24242424242424243,0.12121212121212122,0.18181818181818182,0.09090909090909091,6.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01750000000000001
2,0,3,2,12.0,0,0.6,0.0,0.0,0.4,0.0,0.0,0,0.175,0.15,0.25,0.15,0.15,0.125,8.0,4.0,2.0,24.0,1.0,1.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,0.45,0.05,0.25,0.2,0.0,0.05,0,0.2,0.125,0.15,0.15,0.225,0.15,7.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.065
2,0,3,3,13.0,0,0.19,0.18,0.19,0.18,0.14,0.12,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,10.0,10.0,2.0,24.0,1.0,1.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,0.45,0.05,0.25,0.2,0.0,0.05,0,0.14285714285714285,0.22857142857142856,0.2571428571428571,0.17142857142857143,0.08571428571428572,0.11428571428571428,6.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05650000000000001
